"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T21:48:48.232Z[Europe/London]","0.0","0.09"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","FAILURE","2023-01-10T21:48:48.319Z[Europe/London]","0.0","0.06"
